Date,Open,High,Low,Close,Volume,OpenInt
7/15/1982,3.7584,3.7792,3.7163,3.7792,276638,0
7/16/1982,3.7584,3.8,3.7163,3.7792,545615,0
7/19/1982,3.7374,3.8,3.6963,3.6963,195028,0
7/20/1982,3.7163,3.7584,3.6745,3.7584,289666,0
7/21/1982,3.7584,3.7792,3.7374,3.7584,228361,0
7/22/1982,3.7792,3.8,3.7374,3.7792,926856,0
7/23/1982,3.8209,3.8628,3.7584,3.8419,481245,0
7/26/1982,3.8419,3.8628,3.8,3.8628,195028,0
7/27/1982,3.8419,3.8839,3.7792,3.8,575884,0
7/28/1982,3.7163,3.8,3.6745,3.6745,344457,0
7/29/1982,3.6963,3.7374,3.6331,3.7374,157095,0
7/30/1982,3.7163,3.7792,3.6745,3.6963,139852,0
8/2/1982,3.8419,3.9255,3.7374,3.9255,263611,0
8/3/1982,3.9464,3.967,3.9041,3.9041,621097,0
8/4/1982,3.8628,3.8839,3.8209,3.8209,570135,0
8/5/1982,3.8,3.8628,3.7374,3.7792,646769,0
8/6/1982,3.7374,3.7584,3.6963,3.7163,601939,0
8/9/1982,3.6963,3.7374,3.6538,3.7163,483928,0
8/10/1982,3.7792,3.8419,3.6963,3.6963,324917,0
8/11/1982,3.7584,3.8,3.6963,3.7374,194642,0
8/12/1982,3.7584,3.8209,3.6963,3.6963,195793,0
8/13/1982,3.7374,3.7584,3.6963,3.7374,311888,0
8/16/1982,3.8209,3.8419,3.7792,3.7792,236408,0
8/17/1982,3.9255,4.0295,3.7792,4.0295,1457911,0
8/18/1982,4.1551,4.2379,4.0506,4.1757,2000460,0
8/19/1982,4.1968,4.2596,4.1346,4.2596,683934,0
8/20/1982,4.364,4.4682,4.2596,4.4478,901568,0
8/23/1982,4.5099,4.5934,4.4051,4.5934,1778612,0
8/24/1982,4.5516,4.5934,4.4891,4.5099,1545269,0
8/25/1982,4.531,4.5725,4.4478,4.5725,962873,0
8/26/1982,4.5725,4.6563,4.4891,4.4891,1042184,0
8/27/1982,4.4478,4.4891,4.4051,4.4478,455189,0
8/30/1982,4.531,4.6143,4.4051,4.6143,436797,0
8/31/1982,4.6143,4.6563,4.5725,4.6349,991991,0
9/1/1982,4.6563,4.6974,4.5934,4.6349,981647,0
9/2/1982,4.6974,4.7812,4.5934,4.7606,541017,0
9/3/1982,4.7396,4.8439,4.6349,4.6563,1348330,0
9/7/1982,4.6563,4.6974,4.6143,4.6563,518410,0
9/8/1982,4.7188,4.7396,4.6775,4.7188,573585,0
9/9/1982,4.7188,4.7396,4.6974,4.6974,590829,0
9/10/1982,4.6775,4.7188,4.6143,4.6349,451741,0
9/13/1982,4.6775,4.7188,4.6143,4.7188,1737614,0
9/14/1982,4.7812,4.8234,4.7188,4.7812,1139124,0
9/15/1982,4.7188,4.7606,4.6775,4.7396,1095444,0
9/16/1982,4.6775,4.7188,4.6349,4.6775,1008467,0
9/17/1982,4.5516,4.6563,4.4265,4.4682,1050999,0
9/20/1982,4.364,4.4051,4.3011,4.4051,642553,0
9/21/1982,4.3427,4.4051,4.2596,4.4051,563625,0
9/22/1982,4.3011,4.3844,4.2177,4.2802,762098,0
9/23/1982,4.1968,4.2596,4.1131,4.2379,716117,0
9/24/1982,4.2379,4.3011,4.1551,4.1551,511897,0
9/27/1982,4.2802,4.3844,4.1757,4.364,407297,0
9/28/1982,4.3011,4.3427,4.2379,4.2379,210352,0
9/29/1982,4.1551,4.2379,4.0506,4.1131,409594,0
9/30/1982,4.1757,4.2177,4.1346,4.1757,515346,0
10/1/1982,4.2379,4.3427,4.1346,4.2802,1793171,0
10/4/1982,4.2177,4.2379,4.1757,4.1757,196177,0
10/5/1982,4.2379,4.2802,4.1757,4.2177,154030,0
10/6/1982,4.2379,4.3011,4.1757,4.3011,1198130,0
10/7/1982,4.4265,4.531,4.3011,4.4682,1677458,0
10/8/1982,4.5099,4.5725,4.4051,4.5725,848307,0
10/11/1982,4.8234,4.8648,4.7812,4.8648,2209278,0
10/12/1982,4.8648,4.9068,4.7188,4.8023,1083183,0
10/13/1982,4.7396,4.8234,4.6563,4.7812,1339515,0
10/14/1982,4.7396,4.8023,4.6775,4.6775,390819,0
10/15/1982,4.6563,4.7188,4.5934,4.7188,232192,0
10/18/1982,4.7188,4.8234,4.6563,4.6775,669373,0
10/19/1982,4.6974,4.7812,4.6143,4.6775,1677842,0
10/20/1982,4.7188,4.8023,4.6349,4.8023,833747,0
10/21/1982,4.7396,4.9896,4.5099,4.5934,3374457,0
10/22/1982,4.6143,4.6775,4.5725,4.5725,1070540,0
10/25/1982,4.531,4.5934,4.4265,4.4265,686618,0
10/26/1982,4.4891,4.5516,4.4265,4.5516,647918,0
10/27/1982,4.531,4.5934,4.4478,4.531,1101191,0
10/28/1982,4.5725,4.6563,4.4891,4.4891,746004,0
10/29/1982,4.4682,4.531,4.4051,4.5099,465918,0
11/1/1982,4.4051,4.4478,4.364,4.3844,430284,0
11/2/1982,4.5099,4.6143,4.4051,4.531,896586,0
11/3/1982,4.7188,4.9068,4.5099,4.9068,1926895,0
11/4/1982,4.8648,4.9273,4.7606,4.8023,1623816,0
11/5/1982,4.7812,4.8023,4.7396,4.7396,470517,0
11/8/1982,4.6563,4.7188,4.5934,4.7188,396183,0
11/9/1982,4.8023,4.9273,4.6563,4.9273,1170925,0
11/10/1982,4.8648,5.0322,4.6775,4.6775,1242578,0
11/11/1982,4.5516,4.6349,4.4682,4.6349,650601,0
11/12/1982,4.5934,4.6775,4.4891,4.4891,1115368,0
11/15/1982,4.4478,4.5099,4.3844,4.5099,271658,0
11/16/1982,4.3011,4.3427,4.2379,4.2802,967851,0
11/17/1982,4.3427,4.3844,4.2802,4.3222,889690,0
11/18/1982,4.2802,4.3011,4.2379,4.2379,766312,0
11/19/1982,4.3222,4.4051,4.2379,4.364,1022646,0
11/22/1982,4.4051,4.4478,4.3427,4.3844,969769,0
11/23/1982,4.364,4.4051,4.3222,4.3844,118779,0
